ANNO 2016;C.E.R.;020304;;;;;;;;;;;;
cdc;Descrizione Unita' Locale  Produttore;01 Gennaio;02 Febbraio;03 Marzo;04 Aprile;05 Maggio;06 Giugno;07 Luglio;08 Agosto;09 Settembre;10 Ottobre;11 Novembre;12 Dicembre;Totale complessivo
ITA016;ASSAGO;26,74;23,42;28,52;26,82;23,78;23,88;18,98;24,04;20,56;16,42;21,32;26,38;280,86
ITA013;BUROLO;5,1;6,01;7,15;5,01;5,82;5,6;6,86;9,55;5,82;5,81;7,48;6,29;76,5
ITA019;CARUGATE;28,56;18,86;27,42;27,22;21,36;18,66;17,4;18,36;27,18;23,24;20,12;21,38;269,76
ITA022;CASALECCHIO DI RENO;17,5;23,26;23,84;20,16;17,28;23,58;19,14;16,52;16,98;10,9;15,66;20,22;225,04
ITA036;COLLEGNO;6,54;6,53;6,66;7,48;5,48;7,32;10,18;9,46;8,53;5,63;6,02;9,43;89,26
ITA029;FROSINONE;8,12;6,22;8,72;5,7;4,78;6,38;6,02;6,02;7,2;4,26;7,5;5,24;76,16
ITA020;GIUSSANO;3,22;5,08;6,74;4,5;5,14;8,54;7,56;10,12;10,62;6,32;8,3;8,58;84,72
ITA015;GROSSETO;2,92;4,05;2,55;4,44;3,7;4,38;3,88;4,68;3,92;2,76;3,91;4,12;45,31
ITA012;GRUGLIASCO;7,92;10,3;8,99;17,1;12,24;13,21;19,93;15,2;18,19;12,07;12,34;12,73;160,22
ITA049;LEINI';2,55;4,09;2,76;4,46;3,08;3,82;5,06;4,1;2,72;2,16;2,26;3,92;40,98
ITA055;LIMBIATE;10,32;13,8;13,66;10,88;5,96;7,5;7,84;6,96;11,08;7,66;7,56;6,9;110,12
ITA062;MONCALIERI;4,77;4,89;5,4;6,95;4,06;5,14;6,42;6,92;5,35;5,51;4,46;5,7;65,57
ITA010;MONTECUCCO;12,49;14,43;11,62;14,32;12,27;14,66;19,87;18,4;16,75;13,16;10,82;11,31;170,1
ITA021;PADERNO DUGNANO;21,76;20,92;24,22;22,38;25,4;20,02;20,74;26,4;13,74;21,7;28,6;19,92;265,8
ITA014;PINEROLO;5,01;4,14;4,61;4,34;3,56;4,96;5,17;4,79;6,31;4,08;3,97;5,07;56,01
ITA050;ROMA NICCODEMI (BUFALOTTA);3,06;3,16;2,91;3,49;2,68;3,83;2,34;3,7;3,23;2,84;2,65;2,53;36,42
ITA028;ROMANINA;2,96;2,15;2,45;2,38;1,32;2,36;0,81;0,45;2,25;0,85;0,18;2,1;20,26
ITA024;TAVAGNACCO;4,26;7,96;8,52;6,02;7,12;7,88;7,12;8,44;8,7;9,06;7,5;8,9;91,48
ITA023;THIENE;10,9;12,16;12,68;6,4;7,08;18,52;8,86;10,08;7,48;9,14;13,88;6,38;123,56
ITA040;TOR VERGATA;3,44;1,83;3,98;2,43;2,84;2,69;4,05;2,93;2,89;2,23;1,28;4,15;34,74
ITA011;TROFARELLO;1,13;1,56;2,49;1,28;1,21;1,12;0,66;0,26;0,23;0,68;0,67;1,77;13,06
ITA018;Vercelli;4,19;4,30;4,74;6,11;3,57;4,52;5,64;6,08;4,70;4,84;3,92;5,01;57,6
ITA026;Massa;30,00;26,27;32,00;30,09;26,68;26,79;21,29;26,97;23,07;18,42;23,92;29,60;315,09
ITA041;Marcianise;2,44;3,91;2,64;4,26;2,94;3,65;4,84;3,92;2,60;2,07;2,16;3,75;39,18
;Totale complessivo;225,90;229,30;255,27;244,22;209,35;239,01;230,66;244,35;230,10;191,81;216,48;193,02;2 709,45
