Code;Nom;DOA;;
ITA001;Cagliari Quartu;41,54;;
ITA003;Zumpano ;41,54;;
ITA004;Gallarate ;41,54;;
ITA005;Marcon;41,54;;
ITA006;S.Giuliano ;41,54;;
ITA007;Pontecagnano;41,54;;
ITA008;Cagliari S.Sperate;41,54;;
ITA009;Nichelino;41,54;;
ITA010;Montecucco;41,54;;
ITA011;Trofarello;41,54;;
ITA012;Grugliasco;41,54;;
ITA013;Burolo;41,54;;
ITA014;Pinerolo;41,54;;
ITA015;Torino cs Grosseto;41,54;;
ITA016;Assago;41,54;;
ITA018;Vercelli;41,54;;
ITA019;Carugate;41,54;;
ITA020;Giussano;41,54;;
ITA021;Paderno;41,54;;
ITA022;Casalecchio;41,54;;
ITA023;Thiene;41,54;;
ITA024;Tavagnacco;41,54;;
ITA026;Massa;41,54;;
ITA028;Romanina;41,54;;
ITA029;Frosinone;41,54;;
ITA033;Aosta;41,54;;
ITA035;Ancona;41,54;;
ITA036;Collegno;41,54;;
ITA037;Lucca;41,54;;
ITA038;Portogruaro;41,54;;
ITA039;Calenzano;41,54;;
ITA040;Tor Vergata;41,54;;
ITA041;Marcianise;41,54;;
ITA043;Malpensa;41,54;;
ITA045;Borgomanero;41,54;;
ITA046;Torino Bramante;41,54;;
ITA047;Novara G. Cesare;41,54;;
ITA049;Leini;41,54;;
ITA050;Roma Niccodemi;41,54;;
ITA055;Limbiate;41,54;;
ITA056;Pavia;41,54;;
ITA059;Sassari;41,54;;
ITA062;Moncalieri 2;41,54;;
ITA062;Moncalieri 2;41,54;;
ITA069;Orzinuovi;41,54;;
ITA072;Udine;41,54;;
ITA073;RM Ciliegie;41,54;;
ITA074;Rivalta;41,54;;
ITA076;Domodossola;41,54;;
ITA077;Borgosesia;41,54;;
ITA078;Arma di Taggia;41,54;;
ITA079;Gavirate;41,54;;
ITA080;Chivasso;41,54;;
ITA081;Bazzano;41,54;;
ITA083;Luino;41,54;;
ITA084;Tavernerio;41,54;;
